lsoa11cd,rank,decile
W01000137,1178,7
W01000138,616,4
W01000139,1550,9
W01000140,647,4
W01000141,1598,9
W01000142,1739,10
W01000143,477,3
W01000144,20,1
W01000145,792,5
W01000146,623,4
W01000147,1107,6
W01000148,1267,7
W01000149,296,2
W01000150,781,5
W01000151,540,3
W01000152,681,4
W01000153,1277,7
W01000154,1742,10
W01000155,1596,9
W01000156,1482,8
W01000157,610,4
W01000158,1506,8
W01000159,968,6
W01000162,1001,6
W01000163,193,2
W01000164,1328,7
W01000165,1830,10
W01000166,1084,6
W01000167,615,4
W01000168,590,4
W01000169,521,3
W01000170,1408,8
W01000171,969,6
W01000172,516,3
W01000173,1599,9
W01000174,1859,10
W01000175,1861,10
W01000176,759,4
W01000177,1197,7
W01000178,313,2
W01000179,1584,9
W01000180,1769,10
W01000181,1841,10
W01000182,202,2
W01000183,1310,7
W01000184,439,3
W01000185,1195,7
W01000186,364,2
W01000187,78,1
W01000188,1457,8
W01000189,914,5
W01000190,1168,7
W01000191,1002,6
W01000192,953,5
W01000193,700,4
W01000194,602,4
W01000195,1870,10
W01000196,1730,10
W01000197,1581,9
W01000198,170,1
W01000199,519,3
W01000200,1471,8
W01000201,779,5
W01000202,1334,7
W01000203,1508,8
W01000204,1607,9
W01000205,1192,7
W01000206,1253,7
W01000207,1155,7
W01000208,625,4
W01000209,1058,6
W01000210,1318,7
W01000211,1123,6
W01000212,1591,9
W01000213,400,3
W01000214,389,3
W01000215,1764,10
W01000216,572,3
W01000217,845,5
W01000218,592,4
W01000219,836,5
W01000220,780,5
W01000221,646,4
W01000222,1025,6
W01000223,1369,8
W01000224,1329,7
W01000225,1210,7
W01000226,351,2
W01000227,973,6
W01000228,133,1
W01000229,587,4
W01000230,1327,7
W01000231,782,5
W01000232,1152,7
W01000233,917,5
W01000234,192,2
W01000235,1453,8
W01000236,57,1
W01000237,19,1
W01000238,651,4
W01000239,2,1
W01000240,1,1
W01000241,11,1
W01000242,1041,6
W01000243,1447,8
W01000244,1887,10
W01000245,1556,9
W01000246,1020,6
W01000247,1114,6
W01000248,1243,7
W01000249,1862,10
W01000250,1738,10
W01000251,1272,7
W01000252,1498,8
W01000253,940,5
W01000254,568,3
W01000255,1478,8
W01000256,1455,8
W01000257,1831,10
W01000258,1372,8
W01000259,921,5
W01000260,1629,9
W01000261,1631,9
W01000262,627,4
W01000263,470,3
W01000264,1693,9
W01000265,1520,8
W01000266,1582,9
W01000267,1696,9
W01000268,1867,10
W01000269,1244,7
W01000270,1559,9
W01000271,1352,8
W01000272,1557,9
W01000273,672,4
W01000274,231,2
W01000275,1458,8
W01000276,1573,9
W01000277,1645,9
W01000278,225,2
W01000279,1468,8
W01000280,1588,9
W01000281,1489,8
W01000282,1882,10
W01000283,1294,7
W01000284,1852,10
W01000285,1876,10
W01000286,1846,10
W01000287,409,3
W01000288,320,2
W01000289,1612,9
W01000290,223,2
W01000291,1279,7
W01000292,469,3
W01000293,678,4
W01000294,1685,9
W01000295,1515,8
W01000296,247,2
W01000297,1208,7
W01000298,475,3
W01000299,1619,9
W01000300,1640,9
W01000301,1179,7
W01000302,1847,10
W01000303,1866,10
W01000304,152,1
W01000305,983,6
W01000306,675,4
W01000307,1807,10
W01000308,1236,7
W01000309,1181,7
W01000310,1476,8
W01000311,1274,7
W01000312,876,5
W01000313,1211,7
W01000314,694,4
W01000315,1149,7
W01000316,1888,10
W01000317,1909,10
W01000318,295,2
W01000319,1085,6
W01000320,464,3
W01000321,1880,10
W01000322,1484,8
W01000323,1678,9
W01000324,1865,10
W01000325,1772,10
W01000326,1763,10
W01000327,1773,10
W01000328,441,3
W01000329,545,3
W01000330,789,5
W01000331,1287,7
W01000332,575,4
W01000333,158,1
W01000334,870,5
W01000335,260,2
W01000336,98,1
W01000337,1022,6
W01000338,1052,6
W01000339,1120,6
W01000340,1617,9
W01000341,961,6
W01000342,542,3
W01000343,1877,10
W01000344,1776,10
W01000345,1444,8
W01000346,1290,7
W01000347,1514,8
W01000348,529,3
W01000349,1073,6
W01000350,445,3
W01000351,1049,6
W01000352,507,3
W01000353,156,1
W01000354,1153,7
W01000355,562,3
W01000356,513,3
W01000359,1160,7
W01000360,574,4
W01000361,944,5
W01000362,433,3
W01000363,1411,8
W01000364,1223,7
W01000365,1365,8
W01000366,977,6
W01000367,1674,9
W01000368,1869,10
W01000369,1668,9
W01000370,1778,10
W01000371,980,6
W01000372,430,3
W01000373,465,3
W01000374,600,4
W01000375,1583,9
W01000376,1542,9
W01000377,1421,8
W01000378,270,2
W01000379,332,2
W01000380,1217,7
W01000381,509,3
W01000382,333,2
W01000383,1384,8
W01000384,1752,10
W01000385,1737,10
W01000386,665,4
W01000387,1849,10
W01000388,1572,9
W01000389,1337,7
W01000390,1359,8
W01000391,1347,8
W01000392,383,3
W01000393,962,6
W01000394,1441,8
W01000395,1357,8
W01000396,1901,10
W01000397,1908,10
W01000398,1113,6
W01000399,1548,9
W01000400,1033,6
W01000401,696,4
W01000402,717,4
W01000403,1465,8
W01000404,1495,8
W01000405,458,3
W01000406,341,2
W01000407,1554,9
W01000408,846,5
W01000409,99,1
W01000410,997,6
W01000411,454,3
W01000412,893,5
W01000413,9,1
W01000414,80,1
W01000415,1535,9
W01000416,1892,10
W01000417,1805,10
W01000418,1415,8
W01000419,754,4
W01000420,1035,6
W01000422,1286,7
W01000423,599,4
W01000424,931,5
W01000425,45,1
W01000426,950,5
W01000427,830,5
W01000428,1235,7
W01000429,1281,7
W01000430,1319,7
W01000431,1122,6
W01000432,1626,9
W01000433,1094,6
W01000434,1047,6
W01000438,612,4
W01000439,1432,8
W01000440,1480,8
W01000441,1561,9
W01000442,1097,6
W01000443,1461,8
W01000444,1545,9
W01000445,1358,8
W01000446,1578,9
W01000447,1259,7
W01000448,1161,7
W01000449,1417,8
W01000450,1307,7
W01000451,1288,7
W01000452,882,5
W01000453,1263,7
W01000454,378,2
W01000455,769,5
W01000456,701,4
W01000457,1368,8
W01000458,1399,8
W01000459,1027,6
W01000460,1199,7
W01000461,888,5
W01000464,1154,7
W01000465,1605,9
W01000466,1532,9
W01000467,1536,9
W01000470,1313,7
W01000471,1010,6
W01000472,1436,8
W01000473,1240,7
