lsoa11cd,rank,decile
W01001510,1175,7
W01001511,1081,6
W01001512,1848,10
W01001513,1748,10
W01001514,1562,9
W01001515,1239,7
W01001516,504,3
W01001517,1658,9
W01001518,1659,9
W01001519,93,1
W01001520,975,6
W01001521,788,5
W01001522,603,4
W01001523,661,4
W01001524,505,3
W01001525,343,2
W01001526,302,2
W01001527,584,4
W01001528,674,4
W01001529,381,2
W01001530,40,1
W01001531,319,2
W01001532,283,2
W01001533,1814,10
W01001534,1060,6
W01001535,1401,8
W01001536,174,1
W01001537,1467,8
W01001538,259,2
W01001539,449,3
W01001540,1117,6
W01001541,530,3
W01001542,1505,8
W01001543,1613,9
W01001545,1622,9
W01001546,377,2
W01001548,1231,7
W01001549,1499,8
W01001551,797,5
W01001552,1817,10
W01001553,1212,7
W01001554,1427,8
W01001555,1587,9
W01001556,1301,7
W01001557,851,5
W01001558,676,4
W01001559,1490,8
W01001560,1391,8
W01001561,1803,10
W01001562,959,6
W01001563,1488,8
W01001564,1106,6
W01001565,1348,8
W01001566,756,4
W01001567,828,5
W01001568,1269,7
W01001569,1370,8
W01001571,1261,7
W01001572,1580,9
W01001573,1614,9
W01001574,1720,10
W01001575,1291,7
W01001576,995,6
W01001577,425,3
W01001578,1560,9
W01001579,1425,8
W01001580,1071,6
W01001581,1463,8
W01001582,1295,7
W01001583,1382,8
W01001584,1252,7
W01001585,1903,10
W01001586,1834,10
W01001587,1004,6
W01001588,1590,9
W01001589,932,5
W01001590,1608,9
W01001591,1804,10
W01001592,450,3
W01001593,1028,6
W01001594,1248,7
W01001595,1512,8
W01001596,1517,8
W01001597,1842,10
W01001598,656,4
W01001599,986,6
W01001600,1819,10
W01001601,187,1
W01001602,1761,10
W01001603,838,5
W01001604,1657,9
W01001605,459,3
W01001606,1477,8
W01001607,72,1
W01001608,1426,8
W01001609,111,1
W01001610,393,3
W01001611,834,5
W01001612,772,5
W01001613,1039,6
W01001614,226,2
W01001615,817,5
W01001616,1353,8
W01001617,47,1
W01001618,204,2
W01001619,77,1
W01001620,289,2
W01001621,169,1
W01001622,644,4
W01001623,1526,8
W01001624,1698,9
W01001625,1331,7
W01001626,1413,8
W01001627,1762,10
W01001628,556,3
W01001629,1124,6
W01001630,314,2
W01001631,1524,8
W01001632,630,4
W01001633,166,1
W01001634,588,4
W01001635,1663,9
W01001636,1774,10
W01001637,1509,8
W01001638,1871,10
W01001639,1702,9
W01001640,1595,9
W01001641,1660,9
W01001642,373,2
W01001643,171,1
W01001644,778,5
W01001645,620,4
W01001646,134,1
W01001647,740,4
W01001648,750,4
W01001649,913,5
W01001650,760,4
W01001651,1710,9
W01001652,79,1
W01001653,1627,9
W01001654,1528,8
W01001655,1666,9
W01001657,1563,9
W01001658,1522,8
W01001659,21,1
W01001660,241,2
W01001661,88,1
W01001662,10,1
W01001663,329,2
W01001664,146,1
W01001665,645,4
W01001666,102,1
W01001667,69,1
W01001668,183,1
W01001669,1890,10
W01001670,1789,10
W01001671,804,5
W01001672,1249,7
W01001673,1816,10
W01001674,1127,6
W01001675,865,5
W01001676,330,2
W01001677,1276,7
W01001678,421,3
W01001679,1386,8
W01001680,956,6
W01001681,119,1
W01001682,561,3
W01001683,1005,6
W01001684,840,5
W01001685,339,2
W01001686,808,5
W01001687,135,1
W01001688,712,4
W01001689,39,1
W01001690,317,2
W01001691,161,1
W01001692,178,1
W01001693,112,1
W01001694,184,1
W01001695,361,2
W01001696,64,1
W01001697,238,2
W01001698,173,1
W01001699,150,1
W01001702,564,3
W01001703,104,1
W01001704,27,1
W01001705,234,2
W01001706,613,4
W01001707,116,1
W01001708,91,1
W01001709,786,5
W01001710,669,4
W01001711,324,2
W01001712,1062,6
W01001713,670,4
W01001714,1637,9
W01001715,1473,8
W01001716,1345,8
W01001717,879,5
W01001718,895,5
W01001719,1422,8
W01001720,866,5
W01001721,911,5
W01001722,1184,7
W01001724,806,5
W01001725,886,5
W01001726,958,6
W01001727,1756,10
W01001728,1896,10
W01001729,1717,9
W01001730,1850,10
W01001731,1780,10
W01001732,1775,10
W01001733,1818,10
W01001734,1889,10
W01001735,1798,10
W01001736,1829,10
W01001737,42,1
W01001738,28,1
W01001739,24,1
W01001740,30,1
W01001741,14,1
W01001742,50,1
W01001743,1403,8
W01001744,92,1
W01001745,1594,9
W01001746,128,1
W01001747,1510,8
W01001748,573,3
W01001749,638,4
W01001750,255,2
W01001751,181,1
W01001752,1491,8
W01001753,151,1
W01001754,1086,6
W01001755,1379,8
W01001756,1019,6
W01001757,1285,7
W01001758,1362,8
W01001759,796,5
W01001760,666,4
W01001761,219,2
W01001762,73,1
W01001764,347,2
W01001765,323,2
W01001766,256,2
W01001767,426,3
W01001768,240,2
W01001769,1891,10
W01001770,1527,8
W01001771,1813,10
W01001772,1628,9
W01001773,1592,9
W01001774,1855,10
W01001775,1486,8
W01001776,1747,10
W01001777,1827,10
W01001778,1837,10
W01001779,1815,10
W01001780,1809,10
W01001781,1531,9
W01001782,1782,10
W01001783,1840,10
W01001784,1676,9
W01001785,189,1
W01001786,919,5
W01001787,436,3
W01001788,200,2
W01001789,1389,8
W01001790,608,4
W01001791,1492,8
W01001792,580,4
W01001793,1854,10
W01001794,1824,10
W01001795,1883,10
W01001796,1679,9
W01001797,1601,9
W01001798,1791,10
W01001799,1796,10
W01001800,605,4
W01001802,618,4
W01001803,277,2
W01001804,354,2
W01001805,435,3
W01001806,1013,6
W01001807,75,1
W01001808,94,1
W01001809,877,5
W01001810,218,2
W01001811,63,1
W01001812,570,3
W01001813,139,1
W01001814,984,6
W01001815,1361,8
W01001816,582,4
W01001817,831,5
W01001818,1190,7
W01001819,1823,10
W01001820,1623,9
W01001821,1654,9
W01001822,1344,8
W01001823,1699,9
W01001824,856,5
W01001825,884,5
W01001826,1701,9
W01001827,1811,10
W01001828,1656,9
W01001829,634,4
W01001830,368,2
W01001831,812,5
W01001832,514,3
W01001833,622,4
W01001834,531,3
W01001835,89,1
W01001836,1140,6
W01001837,703,4
W01001838,1095,6
W01001839,827,5
W01001840,1164,7
W01001841,1673,9
W01001842,1758,10
W01001843,1700,9
W01001844,1616,9
W01001846,1745,10
W01001847,1836,10
W01001848,1810,10
W01001849,1794,10
W01001850,1860,10
W01001851,1703,9
W01001852,1800,10
W01001853,1828,10
W01001854,1741,10
W01001855,140,1
W01001856,108,1
W01001857,66,1
W01001858,1316,7
W01001859,1229,7
W01001860,1246,7
W01001861,1121,6
W01001862,327,2
W01001863,829,5
W01001864,1521,8
W01001865,1373,8
W01001866,304,2
W01001867,103,1
W01001868,455,3
W01001869,416,3
W01001870,535,3
W01001871,54,1
W01001872,335,2
W01001873,162,1
W01001874,12,1
W01001875,498,3
W01001876,74,1
W01001877,1342,8
W01001878,965,6
W01001879,180,1
W01001880,61,1
W01001881,165,1
W01001882,1232,7
W01001883,126,1
W01001884,13,1
W01001885,402,3
W01001886,97,1
W01001887,1864,10
W01001888,1483,8
W01001889,1323,7
W01001890,1681,9
W01001891,1322,7
W01001892,1771,10
W01001893,1265,7
W01001894,1732,10
W01001895,345,2
W01001896,1793,10
W01001897,1404,8
W01001898,502,3
W01001899,667,4
W01001900,485,3
W01001901,1579,9
W01001902,515,3
W01001903,1479,8
W01001904,1474,8
W01001905,1434,8
W01001906,1038,6
W01001907,1064,6
W01001908,998,6
W01001909,653,4
W01001910,350,2
W01001911,452,3
W01001912,1131,6
W01001913,1621,9
W01001914,1723,10
W01001915,1872,10
W01001916,1907,10
W01001917,920,5
W01001918,1894,10
W01001919,1902,10
W01001920,1874,10
W01001921,1585,9
W01001922,897,5
W01001923,553,3
W01001924,68,1
W01001925,908,5
W01001926,1500,8
W01001927,903,5
W01001928,70,1
W01001929,488,3
W01001930,1074,6
W01001931,163,1
W01001932,952,5
W01001933,1326,7
W01001934,1540,9
W01001935,1449,8
W01001936,1689,9
W01001937,1356,8
W01001938,1105,6
W01001939,833,5
W01001940,1691,9
W01001941,999,6
W01001942,301,2
W01001943,1221,7
W01001944,1707,9
W01001945,1647,9
W01001946,414,3
W01001947,1648,9
W01001948,1900,10
W01001949,1511,8
W01001950,1725,10
W01001951,1143,6
W01001952,547,3
W01001953,1191,7
W01001954,1839,10
W01001955,36,1
W01001956,1885,10
W01001957,492,3
W01001958,1034,6
