osgb4000000074310205,http://data.ordnancesurvey.co.uk/id/4000000074310205,Branderburgh,,,,populatedPlace,Suburban Area,323585,871030,6000,25000,323047,870484,324027,871383,IV31,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV31,,,,,,,Moray,http://data.ordnancesurvey.co.uk/id/7000000000029959,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2654899
osgb4000000074560528,http://data.ordnancesurvey.co.uk/id/4000000074560528,Garmouth,,,,populatedPlace,Village,333573,864190,12000,250000,332553,863620,334393,864822,IV32,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV32,,,,,,,Moray,http://data.ordnancesurvey.co.uk/id/7000000000029959,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2648866
osgb4000000074561964,http://data.ordnancesurvey.co.uk/id/4000000074561964,Seatown,,,,populatedPlace,Suburban Area,323769,870376,2000,25000,323514,870093,324014,870593,IV31,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV31,,,,,,,Moray,http://data.ordnancesurvey.co.uk/id/7000000000029959,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074336440,http://data.ordnancesurvey.co.uk/id/4000000074336440,Kingston,,,,populatedPlace,Village,333903,865417,6000,250000,333131,865023,334107,865732,IV32,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV32,,,,,,,Moray,http://data.ordnancesurvey.co.uk/id/7000000000029959,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074560524,http://data.ordnancesurvey.co.uk/id/4000000074560524,Upper Dallachy,,,,populatedPlace,Hamlet,336218,862688,5000,25000,335906,862210,336572,862934,IV32,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV32,,,,,,,Moray,http://data.ordnancesurvey.co.uk/id/7000000000029959,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Upper_Dallachy,
osgb4000000074563344,http://data.ordnancesurvey.co.uk/id/4000000074563344,Lhanbryde,,,,populatedPlace,Village,327338,861233,9000,250000,326739,860559,328160,861765,IV30,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV30,,,,,,,Moray,http://data.ordnancesurvey.co.uk/id/7000000000029959,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074560321,http://data.ordnancesurvey.co.uk/id/4000000074560321,Portgordon,,,,populatedPlace,Village,339597,864250,9000,250000,338775,863874,340086,864433,AB56,http://data.ordnancesurvey.co.uk/id/postcodedistrict/AB56,,,,,,,Moray,http://data.ordnancesurvey.co.uk/id/7000000000029959,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2640058
osgb4000000074563132,http://data.ordnancesurvey.co.uk/id/4000000074563132,Auchenhalrig,,,,populatedPlace,Hamlet,337232,861881,5000,25000,336900,861636,337400,862136,IV32,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV32,,,,,,,Moray,http://data.ordnancesurvey.co.uk/id/7000000000029959,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074579331,http://data.ordnancesurvey.co.uk/id/4000000074579331,Urquhart,,,,populatedPlace,Village,328565,862673,9000,250000,328175,862037,328954,863379,IV30,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV30,,,,,,,Moray,http://data.ordnancesurvey.co.uk/id/7000000000029959,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2635060
osgb4000000074560526,http://data.ordnancesurvey.co.uk/id/4000000074560526,Bogmoor,,,,populatedPlace,Village,335737,862914,5000,250000,335405,862529,335998,863329,IV32,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV32,,,,,,,Moray,http://data.ordnancesurvey.co.uk/id/7000000000029959,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
